date_key,full_date,day,day_of_week,day_name,week_of_year,month,month_name,quarter,year,is_weekend,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,fiscal_year,fiscal_quarter
57,2011-02-26,26,5,Saturday,8,2,February,1,2011,1,0,0,0,0,0,0,2011,4
58,2011-02-27,27,6,Sunday,8,2,February,1,2011,1,0,0,0,0,0,0,2011,4
59,2011-02-28,28,0,Monday,9,2,February,1,2011,0,0,1,0,0,0,0,2011,4
60,2011-03-01,1,1,Tuesday,9,3,March,1,2011,0,1,0,0,0,0,0,2011,4
61,2011-03-02,2,2,Wednesday,9,3,March,1,2011,0,0,0,0,0,0,0,2011,4
62,2011-03-03,3,3,Thursday,9,3,March,1,2011,0,0,0,0,0,0,0,2011,4
63,2011-03-04,4,4,Friday,9,3,March,1,2011,0,0,0,0,0,0,0,2011,4
64,2011-03-05,5,5,Saturday,9,3,March,1,2011,1,0,0,0,0,0,0,2011,4
65,2011-03-06,6,6,Sunday,9,3,March,1,2011,1,0,0,0,0,0,0,2011,4
66,2011-03-07,7,0,Monday,10,3,March,1,2011,0,0,0,0,0,0,0,2011,4
67,2011-03-08,8,1,Tuesday,10,3,March,1,2011,0,0,0,0,0,0,0,2011,4
68,2011-03-09,9,2,Wednesday,10,3,March,1,2011,0,0,0,0,0,0,0,2011,4
69,2011-03-10,10,3,Thursday,10,3,March,1,2011,0,0,0,0,0,0,0,2011,4
70,2011-03-11,11,4,Friday,10,3,March,1,2011,0,0,0,0,0,0,0,2011,4
71,2011-03-12,12,5,Saturday,10,3,March,1,2011,1,0,0,0,0,0,0,2011,4
72,2011-03-13,13,6,Sunday,10,3,March,1,2011,1,0,0,0,0,0,0,2011,4
73,2011-03-14,14,0,Monday,11,3,March,1,2011,0,0,0,0,0,0,0,2011,4
74,2011-03-15,15,1,Tuesday,11,3,March,1,2011,0,0,0,0,0,0,0,2011,4
75,2011-03-16,16,2,Wednesday,11,3,March,1,2011,0,0,0,0,0,0,0,2011,4
76,2011-03-17,17,3,Thursday,11,3,March,1,2011,0,0,0,0,0,0,0,2011,4
77,2011-03-18,18,4,Friday,11,3,March,1,2011,0,0,0,0,0,0,0,2011,4
78,2011-03-19,19,5,Saturday,11,3,March,1,2011,1,0,0,0,0,0,0,2011,4
79,2011-03-20,20,6,Sunday,11,3,March,1,2011,1,0,0,0,0,0,0,2011,4
80,2011-03-21,21,0,Monday,12,3,March,1,2011,0,0,0,0,0,0,0,2011,4
81,2011-03-22,22,1,Tuesday,12,3,March,1,2011,0,0,0,0,0,0,0,2011,4
82,2011-03-23,23,2,Wednesday,12,3,March,1,2011,0,0,0,0,0,0,0,2011,4
83,2011-03-24,24,3,Thursday,12,3,March,1,2011,0,0,0,0,0,0,0,2011,4
84,2011-03-25,25,4,Friday,12,3,March,1,2011,0,0,0,0,0,0,0,2011,4
85,2011-03-26,26,5,Saturday,12,3,March,1,2011,1,0,0,0,0,0,0,2011,4
86,2011-03-27,27,6,Sunday,12,3,March,1,2011,1,0,0,0,0,0,0,2011,4
87,2011-03-28,28,0,Monday,13,3,March,1,2011,0,0,0,0,0,0,0,2011,4
88,2011-03-29,29,1,Tuesday,13,3,March,1,2011,0,0,0,0,0,0,0,2011,4
89,2011-03-30,30,2,Wednesday,13,3,March,1,2011,0,0,0,0,0,0,0,2011,4
90,2011-03-31,31,3,Thursday,13,3,March,1,2011,0,0,1,0,1,0,0,2011,4
91,2011-04-01,1,4,Friday,13,4,April,2,2011,0,1,0,1,0,0,0,2012,1
92,2011-04-02,2,5,Saturday,13,4,April,2,2011,1,0,0,0,0,0,0,2012,1
93,2011-04-03,3,6,Sunday,13,4,April,2,2011,1,0,0,0,0,0,0,2012,1
94,2011-04-04,4,0,Monday,14,4,April,2,2011,0,0,0,0,0,0,0,2012,1
95,2011-04-05,5,1,Tuesday,14,4,April,2,2011,0,0,0,0,0,0,0,2012,1
96,2011-04-06,6,2,Wednesday,14,4,April,2,2011,0,0,0,0,0,0,0,2012,1
97,2011-04-07,7,3,Thursday,14,4,April,2,2011,0,0,0,0,0,0,0,2012,1
98,2011-04-08,8,4,Friday,14,4,April,2,2011,0,0,0,0,0,0,0,2012,1
99,2011-04-09,9,5,Saturday,14,4,April,2,2011,1,0,0,0,0,0,0,2012,1
100,2011-04-10,10,6,Sunday,14,4,April,2,2011,1,0,0,0,0,0,0,2012,1
101,2011-04-11,11,0,Monday,15,4,April,2,2011,0,0,0,0,0,0,0,2012,1
102,2011-04-12,12,1,Tuesday,15,4,April,2,2011,0,0,0,0,0,0,0,2012,1
103,2011-04-13,13,2,Wednesday,15,4,April,2,2011,0,0,0,0,0,0,0,2012,1
104,2011-04-14,14,3,Thursday,15,4,April,2,2011,0,0,0,0,0,0,0,2012,1
105,2011-04-15,15,4,Friday,15,4,April,2,2011,0,0,0,0,0,0,0,2012,1
106,2011-04-16,16,5,Saturday,15,4,April,2,2011,1,0,0,0,0,0,0,2012,1
107,2011-04-17,17,6,Sunday,15,4,April,2,2011,1,0,0,0,0,0,0,2012,1
108,2011-04-18,18,0,Monday,16,4,April,2,2011,0,0,0,0,0,0,0,2012,1
109,2011-04-19,19,1,Tuesday,16,4,April,2,2011,0,0,0,0,0,0,0,2012,1
110,2011-04-20,20,2,Wednesday,16,4,April,2,2011,0,0,0,0,0,0,0,2012,1
111,2011-04-21,21,3,Thursday,16,4,April,2,2011,0,0,0,0,0,0,0,2012,1
112,2011-04-22,22,4,Friday,16,4,April,2,2011,0,0,0,0,0,0,0,2012,1
113,2011-04-23,23,5,Saturday,16,4,April,2,2011,1,0,0,0,0,0,0,2012,1
114,2011-04-24,24,6,Sunday,16,4,April,2,2011,1,0,0,0,0,0,0,2012,1
115,2011-04-25,25,0,Monday,17,4,April,2,2011,0,0,0,0,0,0,0,2012,1
116,2011-04-26,26,1,Tuesday,17,4,April,2,2011,0,0,0,0,0,0,0,2012,1
117,2011-04-27,27,2,Wednesday,17,4,April,2,2011,0,0,0,0,0,0,0,2012,1
118,2011-04-28,28,3,Thursday,17,4,April,2,2011,0,0,0,0,0,0,0,2012,1
119,2011-04-29,29,4,Friday,17,4,April,2,2011,0,0,0,0,0,0,0,2012,1
120,2011-04-30,30,5,Saturday,17,4,April,2,2011,1,0,1,0,0,0,0,2012,1
121,2011-05-01,1,6,Sunday,17,5,May,2,2011,1,1,0,0,0,0,0,2012,1
122,2011-05-02,2,0,Monday,18,5,May,2,2011,0,0,0,0,0,0,0,2012,1
123,2011-05-03,3,1,Tuesday,18,5,May,2,2011,0,0,0,0,0,0,0,2012,1
124,2011-05-04,4,2,Wednesday,18,5,May,2,2011,0,0,0,0,0,0,0,2012,1
125,2011-05-05,5,3,Thursday,18,5,May,2,2011,0,0,0,0,0,0,0,2012,1
126,2011-05-06,6,4,Friday,18,5,May,2,2011,0,0,0,0,0,0,0,2012,1
127,2011-05-07,7,5,Saturday,18,5,May,2,2011,1,0,0,0,0,0,0,2012,1
128,2011-05-08,8,6,Sunday,18,5,May,2,2011,1,0,0,0,0,0,0,2012,1
129,2011-05-09,9,0,Monday,19,5,May,2,2011,0,0,0,0,0,0,0,2012,1
130,2011-05-10,10,1,Tuesday,19,5,May,2,2011,0,0,0,0,0,0,0,2012,1
131,2011-05-11,11,2,Wednesday,19,5,May,2,2011,0,0,0,0,0,0,0,2012,1
132,2011-05-12,12,3,Thursday,19,5,May,2,2011,0,0,0,0,0,0,0,2012,1
133,2011-05-13,13,4,Friday,19,5,May,2,2011,0,0,0,0,0,0,0,2012,1
134,2011-05-14,14,5,Saturday,19,5,May,2,2011,1,0,0,0,0,0,0,2012,1
135,2011-05-15,15,6,Sunday,19,5,May,2,2011,1,0,0,0,0,0,0,2012,1
136,2011-05-16,16,0,Monday,20,5,May,2,2011,0,0,0,0,0,0,0,2012,1
137,2011-05-17,17,1,Tuesday,20,5,May,2,2011,0,0,0,0,0,0,0,2012,1
138,2011-05-18,18,2,Wednesday,20,5,May,2,2011,0,0,0,0,0,0,0,2012,1
139,2011-05-19,19,3,Thursday,20,5,May,2,2011,0,0,0,0,0,0,0,2012,1
140,2011-05-20,20,4,Friday,20,5,May,2,2011,0,0,0,0,0,0,0,2012,1
141,2011-05-21,21,5,Saturday,20,5,May,2,2011,1,0,0,0,0,0,0,2012,1
142,2011-05-22,22,6,Sunday,20,5,May,2,2011,1,0,0,0,0,0,0,2012,1
